id;name;price;stock
1;attend which supposing;22448.66;29970
2;only;8143.36;198
3;instead shrill flawed;15381.76;11217
4;down though;6517.35;21754
5;upside-down why;1446.88;13620
6;about reborn ugly;16152.1;27601
7;stigmatize thoroughly;15591.67;28906
8;consequently sleet rotating;9626.42;19989
9;giving trained ultimately;13478.89;29010
10;regarding embossing;9399.98;9087
11;ha shadowy cute;10981.86;12368
12;vastly monster abaft;14589.85;22744
13;mismatch potentially;14318.97;13782
14;jive;380.53;32281
15;frizz monasticism;25551.67;20943
16;zowie;28503.32;9067
17;whenever;7569.4;20104
18;nauseate;27754.17;29354
19;rundown as than;8987.81;7585
20;expensive;2366.79;11751
21;creator;23176.26;19630
22;instead;19214.45;14212
23;opposite yowza brightly;32626.89;17870
24;beyond;28047.16;26109
25;aboard;29216.78;29683
26;opposite;31194.66;7731
27;bludgeon frankly wedding;1402.45;5961
28;horn why;16086.96;11382
29;browse citizen yuck;23999.64;28
30;wetly digit mushy;17240.76;20742
